ID,NUS3Bank Name
0x0005,bgm_crs01_menu
0x0006,bgm_crs02_senjyou
0x0007,bgm_crs03_shuuten
0x0008,bgm_crs04_kumite
0x0009,bgm_crs05_masterhand
0x000a,bgm_crs06_mastercore
0x000b,bgm_crs07_online
0x000d,bgm_crs11_simple_result
0x000e,bgm_crs12_simple_result_final
0x000f,bgm_crs13_simple_result_failure
0x0011,bgm_crs15_rest
0x0014,bgm_crs18_figuremeikan
0x0015,bgm_crs19_figureshop
0x0016,bgm_crs20_figurerush
0x0017,bgm_crs21_album
0x0018,bgm_crs23_asobikata
0x0019,bgm_crs24_vs_result
0x001a,bgm_crs25_staffroll
0x001c,bgm_crs26_shuuten_ver2
0x001d,bgm_crs27_masterfortress01
0x001e,bgm_crs28_masterfortress02
0x0021,bgm_crs31_world_map
0x0025,bgm_crs36_tournament_table
0x0028,bgm_crs39_order_masterside
0x002d,bgm_seq_item_hammer
0x002e,bgm_seq_item_goldenhammer
0x002f,bgm_seq_item_superstar
0x0030,bgm_a01_smb_chijyou
0x0031,bgm_a03_smb_suichu
0x0032,bgm_a04_lnd_chika
0x0033,bgm_a05_smb3_hikousen
0x0034,bgm_a06_wld_castle_toride
0x0035,bgm_a07_wld_title_ending
0x0036,bgm_a08_new_maintheme
0x0037,bgm_a09_lm_theme
0x0038,bgm_a13_sms_dolpiktown
0x0039,bgm_a14_sms_riccoharbor
0x003a,bgm_a15_sm64_maintheme
0x003b,bgm_a17_mb_mariobrothers
0x003c,bgm_a20_smk_mariocircuit
0x003d,bgm_a21_mk64_luigicircuit
0x003e,bgm_a22_mkds_waluigipinball
0x003f,bgm_a23_mkdd_rainbowroad
0x0040,bgm_a24_smb_chijyou_chika
0x0041,bgm_a25_smb3_medley
0x0042,bgm_a26_new2_athletic_chijyou
0x0043,bgm_a27_3dl_smb_theme
0x0044,bgm_a28_malrpg4_tryandtry
0x0045,bgm_a29_ppm_medley
0x0046,bgm_a30_mkt_rainbowroad_medley
0x0047,bgm_a31_mkt7_rainbowroad
0x0048,bgm_a32_smb_medley
0x0049,bgm_a33_smb2_medley
0x004a,bgm_a34_new2_touboss
0x004b,bgm_a35_wld_medley
0x004c,bgm_a36_mkt7_circuit
0x004d,bgm_a37_mkt8_skygarden
0x004e,bgm_a38_glx_eggplanet
0x004f,bgm_a39_glx_tenmondainorosetta
0x0050,bgm_a40_drm_chill_ver2
0x0051,bgm_a41_mpt_medley
0x0052,bgm_a42_lm_medley
0x0053,bgm_a44_new2_chijyou
0x0054,bgm_a45_newu_chijyou
0x0055,bgm_a47_pty9_minigame
0x0056,bgm_a48_malrpg3_choitotsuyoiyatsura
0x0057,bgm_a49_malrpg3_inthefinal
0x0058,bgm_a50_mktw_kinokocanyon
0x0059,bgm_a51_mkt8_mariokartstadium
0x005a,bgm_a52_mkt8_mariocircuit
0x005b,bgm_a53_mkt8_rainbowroad
0x005c,bgm_a54_glx_eggplanet
0x005d,bgm_a55_glx_windgarden
0x005e,bgm_a56_glx_supermariogalaxy
0x005f,bgm_a57_glx2_sorajima
0x0060,bgm_a58_glx2_shingingateikoku
0x0061,bgm_a59_glx2_shukumeinokessen
0x0062,bgm_a60_glx2_themeofsmg2
0x0063,bgm_a62_lm2_urameshiyashiki
0x0064,bgm_a63_3dw_field01
0x0065,bgm_a64_3dw_finkoopa02
0x0066,bgm_a65_3dw_milkyway
0x0067,bgm_b01_spr_junglelevel_ver2
0x0068,bgm_b03_dk_opening
0x0069,bgm_b04_dk_donkeykong
0x006a,bgm_b05_spr_kingkrool_shipdeck2
0x006b,bgm_b06_spr2_togetogetarumeiro
0x006c,bgm_b07_jbt_arashigaokanotatakai
0x006e,bgm_b09_dk_25mbgm
0x006f,bgm_b11_rtn_thrillgearflight
0x0070,bgm_b12_spr_junglelevel
0x0071,bgm_b13_rtn_donkeykongreturnes_cv
0x0072,bgm_b14_rtn_donkeykongreturnes
0x0073,bgm_b15_rtn_bananajungle
0x0074,bgm_b16_rtn_mogryanokoujigenba
0x0075,bgm_b17_tfr_mangroves
0x0076,bgm_b18_tfr_theme03
0x0077,bgm_b19_spr_junglelevel_ethnic
0x0078,bgm_c01_zld_title
0x0079,bgm_c02_zld_maintheme
0x007a,bgm_c03_lnk_daishinden_shinden
0x007b,bgm_c04_tri_yaminosekai
0x007c,bgm_c05_tri_uranoyamatomori
0x007d,bgm_c07_yms_tarutarukougen
0x007e,bgm_c08_tno_hyrulemaintheme
0x007f,bgm_c09_tno_medley
0x0080,bgm_c10_tno_arashinouta
0x0081,bgm_c12_4sw_aonomikonomura
0x0082,bgm_c15_kzt_ryuunoshima
0x0083,bgm_c17_tpr_maintheme
0x0084,bgm_c18_tpr_wasureraretasato
0x0086,bgm_c20_zld_maintheme_chika
0x0087,bgm_c21_tri_uranochijyou_uradungeon
0x0088,bgm_c22_tno_gerudonotani
0x0089,bgm_c23_dnk_trainfield2
0x008a,bgm_c24_sws_megaminouta_ghirahim
0x008b,bgm_c25_tno_sarianouta
0x008c,bgm_c26_kzt_oounabara_menuselect
0x008d,bgm_c28_tno_gerudonotani
0x008e,bgm_c29_sws_megaminouta
0x008f,bgm_c30_tri2_hyrulemaintheme
0x0090,bgm_c31_tri2_lorulemaintheme
0x0091,bgm_c32_tri2_yuganotheme
0x0092,bgm_d01_mr_maintheme
0x0093,bgm_d02_mr_norfair
0x0094,bgm_d03_mr_ending
0x0095,bgm_d04_smr_vsridley
0x0096,bgm_d05_smr_samusarannotheme
0x0097,bgm_d06_fsn_sector1
0x0099,bgm_d09_prm_vsmetaridley
0x009a,bgm_d10_prm2_multiplay
0x009b,bgm_d11_mr_title
0x009c,bgm_d12_mr_dasshutu
0x009d,bgm_d13_pht_psychobits
0x009e,bgm_d14_otm_yougangyobattle
0x009f,bgm_d15_otm_hanyoutojikomebattle
0x00a0,bgm_d16_otm_ridleybattle
0x00a1,bgm_e01_str_ending
0x00a2,bgm_e02_ild_athletic
0x00a3,bgm_e05_cty_ohanabatake
0x00a4,bgm_e06_ilds_kouyanotheme
0x00a5,bgm_e07_ild_stage1_1
0x00a6,bgm_e08_kny_keitonoyoshi
0x00a7,bgm_e09_nild_maintheme
0x00a8,bgm_e10_nild_gypsy
0x00a9,bgm_e11_wol_yoshiwoolworld
0x00aa,bgm_f01_air_airridemachine
0x00ab,bgm_f02_kby_dededeounotheme
0x00ac,bgm_f03_kby_bossthememedley
0x00ad,bgm_f04_yim_butterbuilding
0x00ae,bgm_f05_sdx_gekitotsugourmetrace
0x00af,bgm_f06_sdx_metaknightnogyakushuu
0x00b0,bgm_f07_sdx_vsmarx
0x00b1,bgm_f08_kby64_zerotwosen
0x00b2,bgm_f11_air_colda
0x00b3,bgm_f12_sdd_dorochedannotheme
0x00b4,bgm_f13_kby_greengreens_ver2
0x00b5,bgm_f19_yim_butterbuilding
0x00b6,bgm_f20_sdx_dedededaiounotheme
0x00b7,bgm_f21_sdx_doukutsudaisakusen
0x00b8,bgm_f22_knd_morishizenarea
0x00b9,bgm_f23_air_vallerion
0x00ba,bgm_f24_kbyw_boukennohajimari
0x00bb,bgm_f25_kbyw_moriwonukete
0x00bc,bgm_f26_tdx_fuyuutairikunohanabatake
0x00bd,bgm_g01_sfx_maintheme
0x00be,bgm_g02_sfx_corneria
0x00bf,bgm_g03_sfx64_maintheme
0x00c0,bgm_g04_sfx64_area6
0x00c1,bgm_g05_sfx64_starwolf
0x00c2,bgm_g07_ast_sentoutyuuiki
0x00c3,bgm_g08_ast_hyougentoppaseyo
0x00c4,bgm_g09_ast_starwolf
0x00c5,bgm_g10_sfx_spacearmada
0x00c6,bgm_g11_sfx64_area6ver2
0x00c7,bgm_g12_sfx64_starwolf_sectorz
0x00c8,bgm_g13_sfx64_cmd_area6_missle
0x00c9,bgm_h01_pm_maintheme
0x00ca,bgm_h02_pm_pokemoncenter
0x00cb,bgm_h03_pm_tokiwahenomichi_nibicity
0x00cc,bgm_h04_pm_pokemongym_shinka
0x00cd,bgm_h05_rs_sentou_yaseipokemon
0x00ce,bgm_h06_rs_championroad
0x00cf,bgm_h08_dp_dialgapalkia_yarinohashira
0x00d0,bgm_h09_dp_gingadan
0x00d1,bgm_h10_dp_209bandouro
0x00d2,bgm_h11_bw_n_medley
0x00d3,bgm_h12_bw_sentou_zekrom_reshiram
0x00d4,bgm_h13_xy_sentou_trainer
0x00d6,bgm_h16_dp_sentou_champion
0x00d7,bgm_h17_bw_10bandouro
0x00d8,bgm_h18_b2w2_23bandouro
0x00d9,bgm_h19_xy_vs_flare
0x00da,bgm_h20_xy_sentou_yaseipokemon
0x00db,bgm_h21_xy_championroad
0x00dc,bgm_h22_xy_sentou_champion
0x00dd,bgm_i01_fzr_mutecity
0x00de,bgm_i02_fzr_whiteland
0x00df,bgm_i03_fzr_firefield
0x00e0,bgm_i04_fzx_carselect
0x00e1,bgm_i05_fzx_dreamchaser
0x00e2,bgm_i06_fzx_devilscallinyourheart
0x00e3,bgm_i07_fzx_climbup_andgetthelastchance
0x00e4,bgm_i08_gx_braincleaner
0x00e5,bgm_i09_gx_shotgunkiss
0x00e6,bgm_i10_gx_planetcolors
0x00e7,bgm_i11_fzr_mutecity
0x00e8,bgm_i12_fzr_sfc_mutecity
0x00e9,bgm_i14_fzr_redcanyon
0x00ea,bgm_j02_fem_theme
0x00eb,bgm_j03_fem_aankokuryuumedley
0x00ec,bgm_j04_gdn_miranokagototomoni
0x00ed,bgm_j06_snk_shingekijunbi
0x00ee,bgm_j07_fnk_winningroad_roynokibou
0x00ef,bgm_j08_rnk_kougeki
0x00f0,bgm_j09_sek_againstthedarkknight
0x00f1,bgm_j10_sek_crimeaarmysortie
0x00f2,bgm_j11_sek_powerhungryfool
0x00f3,bgm_j12_sek_victoryisnear
0x00f4,bgm_j13_anm_ikenotheme
0x00f5,bgm_j14_ksi_i_i
0x00f6,bgm_j15_gdn_tatakai1
0x00f7,bgm_j16_mnn_deainotheme
0x00f8,bgm_j17_mnn_singeki
0x00f9,bgm_j18_ssk_tougijyou
0x00fa,bgm_j20_anm_tyuugitsukusan
0x00fb,bgm_j21_anm_kekkinotoki
0x00fc,bgm_j22_ksi_shimei_honoo
0x00fd,bgm_j23_ksi_ensei_honoo
0x00fe,bgm_k01_mtr_snowman
0x00ff,bgm_k07_mtr_porkynotheme
0x0100,bgm_k08_mtr3_ainotheme
0x0101,bgm_k09_mtr3_revenge_bukkowashisanka
0x0102,bgm_k11_mtr_magicant_eightmelodies
0x0103,bgm_k12_mtr2_smileandtears
0x0104,bgm_k13_mtr2_onettnotheme
0x0105,bgm_l01_pik2_worldmap
0x0106,bgm_l02_pik_kibounomori
0x0107,bgm_l03_pik_kankyouon
0x0108,bgm_l06_pik_maintheme
0x0109,bgm_l07_pik_clear_title
0x010a,bgm_l09_pik2_stageselect
0x010b,bgm_l10_pik3_missionmode
0x010c,bgm_l11_pik3_saikainohanazono
0x010d,bgm_m01_miw_madeinwario
0x010e,bgm_m02_miw_medley
0x010f,bgm_m07_smw_ashreynotheme
0x0110,bgm_m08_smw_ashreyssong
0x0111,bgm_m19_smw_ashreynotheme
0x0112,bgm_m20_wls_1_1_1_iseki
0x0113,bgm_m21a_gaw_gamer_normal
0x0114,bgm_m21b_gaw_gamer_mom
0x0115,bgm_n01_dnm_title
0x0116,bgm_n02_dnm_yuke_kekerider
0x0117,bgm_n03_dnm_200am
0x0118,bgm_n05_oid_junkissa_hatonosu
0x0119,bgm_n06_oid_yakubatotanukichi
0x011a,bgm_n07_dnm_kk_urban
0x011b,bgm_n08_dnm_kk_western
0x011c,bgm_n09_dnm_kk_neworleans
0x011d,bgm_n10_dnm_kk_rocknroll
0x011e,bgm_n11_dnm_kk_eurobeat
0x011f,bgm_n12_dnm_kk_perunouta
0x0120,bgm_n13_tbd_kotobukiland_medley
0x0121,bgm_n14_tbd_kappeinouta
0x0122,bgm_n15_mhi_town_main
0x0123,bgm_n16_tbd_feild19ji_hare
0x0124,bgm_n17_tbd_tour
0x0125,bgm_n18_tbd_kekeidol
0x0126,bgm_p01_pnk_meifukai
0x0127,bgm_p02_pnk_title
0x0128,bgm_p03_pnk_chijyoukai
0x0129,bgm_p04_pnk_genkyokumedley
0x012a,bgm_p05_shs_syokikabakudannokyoufu
0x012b,bgm_p06_shs_seizokusen
0x012c,bgm_p07_shs_bosssen1
0x012d,bgm_p09_shs_blackpitnotheme
0x012e,bgm_p11_shs_ginganoseiiki
0x012f,bgm_p12_shs_houkaiengeland
0x0130,bgm_p13_shs_magnanotheme
0x0131,bgm_p15_shs_hadesnotheme
0x0132,bgm_p16_shs_raiunnoteien
0x0133,bgm_q01_fc_famicommedley
0x0134,bgm_q02_rob_blockandgyro
0x0135,bgm_q04_drm_chill
0x0136,bgm_q05_clu_clucluland
0x0137,bgm_q07_ice_iceclimber
0x0138,bgm_q08_oni_shinonigashima
0x0139,bgm_q09_3hr_title
0x013a,bgm_q10_trs_typea
0x013b,bgm_q11_trs_typeb
0x013c,bgm_q12_x_tunnelscene
0x013d,bgm_q15_bft_medley
0x013e,bgm_q16_bft_balloontrip
0x013f,bgm_q17_nmj_medley
0x0140,bgm_q18_po_running_countdown
0x0141,bgm_q19_dkh_title
0x0142,bgm_q20_wcr_gamestart
0x0143,bgm_q21_mpo_shiaityuu
0x0144,bgm_q22_pw_lightplane
0x0145,bgm_q23_pw_lightplane_ver2
0x0146,bgm_q24_wcr_bgma
0x0147,bgm_q26_pw_lightplane
0x0148,bgm_r02_pictochat
0x0149,bgm_r04_gw_flatzone2
0x014a,bgm_r05_mtg_mariotennis_mariogolf
0x014b,bgm_r06_pdp_lipnotheme
0x014c,bgm_r07_mmg_marionationgear
0x014d,bgm_r08_yaj_title
0x014e,bgm_r09_1080_goldenforest
0x014f,bgm_r11_spc_wiishopingchannel
0x0150,bgm_r12_ont_sentou_boss
0x0151,bgm_r14_ext_excitetruck
0x0152,bgm_r15_nou_dstraning
0x0154,bgm_r18_ntd_shower
0x0155,bgm_r19_ntd_shower_ver2
0x0156,bgm_r20_ngc_nigaoehiroba
0x0157,bgm_r21_wpo_minorcircuit
0x0158,bgm_r22_tdcs_tomodachicollection
0x0159,bgm_r23_xbd_gaurheigen
0x015a,bgm_r24_xbd_nawokansurumonotachi
0x015b,bgm_r25_xbd_kinoritsudou
0x015c,bgm_r26_scd2_sekaiwosukueyuushayo
0x015d,bgm_r27_scd2_yaminoou
0x015e,bgm_r28_wft_hoopdance
0x015f,bgm_r29_wftp_athleticmii
0x0160,bgm_r30_wftp_skebo_freemode
0x0161,bgm_r31_wsp_title
0x0162,bgm_r32_wsr_title
0x0163,bgm_r33_wsr_title_ver2
0x0164,bgm_r34_bt2_thevaledictoryelegy
0x0165,bgm_r35_hne_battleareaa_greecce
0x0166,bgm_r36_xbd_arrangemedley
0x0167,bgm_r37_hsz_boss1
0x0168,bgm_r38_iki_maintheme
0x0169,bgm_r39_pwr_hikouki
0x016a,bgm_r40_pwr_hangglider
0x016b,bgm_r41_cct_opening
0x016c,bgm_r42_nld_title
0x016d,bgm_r43_wgf_title
0x016e,bgm_r44_wft_rhythmboxing
0x016f,bgm_r45_wftp_segwaychallange_tyuukyuu
0x0170,bgm_r46_wftu_luge
0x0171,bgm_r47_wptu_theme_1
0x0172,bgm_r48_wsr_title
0x0173,bgm_r49_motto_menu
0x0174,bgm_r50_sbg_bosskyuumonsterbattle
0x0175,bgm_r51_cap_macnouta
0x0176,bgm_r52_bbdx_performance
0x0177,bgm_r53_po_splashscreen
0x0178,bgm_r54_po_worldcircuitfight
0x0179,bgm_r55_xbd_tekitonotaiji
0x017a,bgm_r56_xbd_sentou
0x017b,bgm_r57_xbd_gaurheigen_yoru
0x017c,bgm_r58_xbd_yukutewohabamumono
0x017d,bgm_r59_xrt_tunnelnormal
0x017e,bgm_r60_ont_worldmap
0x017f,bgm_r61_egk_swan_lesson
0x0180,bgm_r63_arg_dragonnotatakai
0x0181,bgm_r64_nld_title
0x0182,bgm_r65_wgf_fashonshow
0x0183,bgm_r66_rlw_move2
0x0184,bgm_r67_rmx_remix2_title
0x0185,bgm_r68_101_rolloutwonderful100
0x0186,bgm_r69_101_jerginghaplanetdestructionform
0x0187,bgm_s01_rm2_medley
0x0188,bgm_s02_rm2_airman_stage
0x0189,bgm_s03_rm3_sparkman_stage
0x018a,bgm_s04_rm2_originalmedley
0x018b,bgm_s05_rm_cutman_stage
0x018c,bgm_s06_rm2_quickman_stage
0x018d,bgm_s07_rm3_shadowman_stage
0x018e,bgm_s08_rm_originalmedley
0x018f,bgm_s09_rm3_originalmedley
0x0190,bgm_s10_rm4_6_originalmedley
0x0191,bgm_t01_sb_staffroll
0x0192,bgm_t06_spr_kongojungle
0x0193,bgm_t07_sb_staffroll
0x0194,bgm_t08_sb_yoshiisland
0x0195,bgm_u01_snc_greenhillzone
0x0196,bgm_u04_snc3_angelislandzone
0x0197,bgm_u08_sadv_openyourheart
0x0198,bgm_u09_sadv2_liveandlearn
0x0199,bgm_u10_shrs_sonicheroes
0x019b,bgm_u12_snc06_hisworld_instrumental
0x019c,bgm_u13_srng_sevenringsinhand
0x019d,bgm_u14_sadv2_escapefromthecity
0x019e,bgm_u15_sblk_knightofthewind
0x019f,bgm_u16_sclr_reachforthestars
0x01a0,bgm_u17_sgen_rooftoprun
